Title,ReleaseYear,Certificate,Runtime,Genres,Description,IMDBRating,Metascore,Votes,GrossRevenue,genre_pull
Incredibles 2,(2018),PG,118 min,"
Animation, Action, Adventure            ","
The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.","

7.6
","
80        
        Metascore
            ","281,818",$608.58M,comedy
Finding Dory,(2016),PG,97 min,"
Animation, Adventure, Comedy            ","
Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.","

7.3
","
77        
        Metascore
            ","264,812",$486.30M,comedy
Frozen II,(2019),PG,103 min,"
Animation, Adventure, Comedy            ","
Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.","

6.8
","
64        
        Metascore
            ","162,495",$477.37M,comedy
Shrek 2,(2004),PG,93 min,"
Animation, Adventure, Comedy            ","
Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.","

7.3
","
75        
        Metascore
            ","448,413",$436.47M,comedy
Toy Story 4,(2019),G,100 min,"
Animation, Adventure, Comedy            ","
When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.","

7.7
","
84        
        Metascore
            ","235,158",$434.04M,comedy
Toy Story 3,(2010),G,103 min,"
Animation, Adventure, Comedy            ","
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","

8.3
","
92        
        Metascore
            ","807,727",$415.00M,comedy
Jumanji: Welcome to the Jungle,(2017),PG-13,119 min,"
Action, Adventure, Comedy            ","
Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","

6.9
","
58        
        Metascore
            ","361,152",$404.52M,comedy
Frozen,(I) (2013),PG,102 min,"
Animation, Adventure, Comedy            ","
When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","

7.5
","
75        
        Metascore
            ","607,601",$400.74M,comedy
Guardians of the Galaxy Vol. 2,(2017),PG-13,136 min,"
Action, Adventure, Comedy            ","
The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.","

7.6
","
67        
        Metascore
            ","642,148",$389.81M,comedy
Finding Nemo,(2003),G,100 min,"
Animation, Adventure, Comedy            ","
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","

8.2
","
90        
        Metascore
            ","1,010,209",$380.84M,comedy
The Secret Life of Pets,(2016),PG,87 min,"
Animation, Adventure, Comedy            ","
The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.","

6.5
","
61        
        Metascore
            ","196,841",$368.38M,comedy
Despicable Me 2,(2013),PG,98 min,"
Animation, Adventure, Comedy            ","
When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.","

7.3
","
62        
        Metascore
            ","389,440",$368.06M,comedy
Deadpool,(2016),R,108 min,"
Action, Adventure, Comedy            ","
A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","

8.0
","
65        
        Metascore
            ","986,601",$363.07M,comedy
