Title,year
Incredibles 2,2018
Finding Dory,2016
Frozen II,2019
Shrek 2,2004
Toy Story 4,2019
Toy Story 3,2010
Jumanji: Welcome to the Jungle,2017
Frozen,I 2013
Guardians of the Galaxy Vol. 2,2017
Finding Nemo,2003
The Secret Life of Pets,2016
Despicable Me 2,2013
Deadpool,2016
Inside Out,I 2015
Aladdin,2019
Zootopia,2016
Minions,2015
Guardians of the Galaxy,2014
Deadpool 2,2018
Shrek the Third,2007
Jumanji: The Next Level,2019
Thor: Ragnarok,2017
Up,2009
"Monsters, Inc.",2001
Home Alone,1990
Meet the Fockers,2004
The Hangover,2009
The Grinch,2018
Sing,2016
Monsters University,2013
Shrek,2001
Despicable Me 3,2017
How the Grinch Stole Christmas,2000
The Lego Movie,2014
The Hangover Part II,2011
Despicable Me,2010
Night at the Museum,2006
Men in Black,1997
Moana,I 2016
Toy Story 2,1999
Cars,2006
Bruce Almighty,2003
My Big Fat Greek Wedding,2002
Ghostbusters,1984
Shrek Forever After,2010
Brave,2012
Beverly Hills Cop,1984
Rush Hour 2,2001
Big Hero 6,2014
Alvin and the Chipmunks: The Squeakquel,2009
Mrs. Doubtfire,1993
Ted,2012
How to Train Your Dragon,2010
Aladdin,1992
Alvin and the Chipmunks,2007
Ant-Man and the Wasp,2018
Madagascar 3: Europe's Most Wanted,2012
Kung Fu Panda,2008
The Lorax,2012
Austin Powers in Goldmember,2002
Back to the Future,1985
Coco,I 2017
Wedding Crashers,2005
Charlie and the Chocolate Factory,2005
Ratatouille,2007
Bad Boys for Life,2020
Austin Powers: The Spy Who Shagged Me,1999
Ralph Breaks the Internet,2018
Tangled,2010
Monsters vs. Aliens,2009
Happy Feet,2006
Ice Age: Dawn of the Dinosaurs,2009
Ice Age: The Meltdown,2006
Madagascar,2005
Toy Story,1995
22 Jump Street,2014
Cars 2,2011
Teenage Mutant Ninja Turtles,2014
Men in Black II,2002
Spider-Man: Into the Spider-Verse,2018
Wreck-It Ralph,2012
Grease,1978
The Croods,2013
Mr. & Mrs. Smith,2005
Pitch Perfect 2,2015
The Polar Express,2004
The Simpsons Movie,2007
What Women Want,2000
Liar Liar,1997
Ant-Man,2015
Madagascar: Escape 2 Africa,2008
Hitch,I 2005
Men in Black 3,2012
Pretty Woman,1990
Home,II 2015
Night at the Museum: Battle of the Smithsonian,2009
Tootsie,1982
How to Train Your Dragon 2,2014
There's Something About Mary,1998
Ice Age,2002
The Lego Batman Movie,2017
The Boss Baby,2017
Crocodile Dundee,1986
Crazy Rich Asians,2018
Home Alone 2: Lost in New York,1992
Elf,2003
Mary Poppins Returns,2018
Tarzan,1999
Chicago,2002
Hotel Transylvania 2,2015
Bridesmaids,I 2011
Wild Hogs,2007
Three Men and a Baby,1987
Hotel Transylvania 3: Summer Vacation,2018
Meet the Parents,2000
Knives Out,2019
Kung Fu Panda 2,2011
The Proposal,I 2009
Big Daddy,1999
The SpongeBob Movie: Sponge Out of Water,2015
A Bug's Life,1998
Grown Ups,I 2010
The Waterboy,1998
Ice Age: Continental Drift,2012
Shark Tale,2004
How to Train Your Dragon: The Hidden World,2019
The Sting,1973
The Heat,I 2013
The Secret Life of Pets 2,2019
The Longest Yard,2005
Scary Movie,2000
Who Framed Roger Rabbit,1988
Over the Hedge,2006
Horton Hears a Who!,2008
Jerry Maguire,1996
Trolls,2016
Beverly Hills Cop II,1987
Scooby-Doo,2002
Cars 3,2017
Sex and the City,2008
Runaway Bride,1999
La La Land,2016
We're the Millers,2013
Daddy's Home,2015
Neighbors,I 2014
Puss in Boots,2011
Sonic the Hedgehog,2020
Knocked Up,2007
As Good as It Gets,1997
Megamind,2010
Little Fockers,2010
Hotel Transylvania,2012
Talladega Nights: The Ballad of Ricky Bobby,2006
Gremlins,1984
True Lies,1994
Lilo & Stitch,2002
American Pie 2,2001
One Hundred and One Dalmatians,1961
The Santa Clause,1994
Doctor Dolittle,1998
Mamma Mia!,2008
