Title,Release Year,Certificate,Genres,IMDB Rating,Votes,Gross Revenue,genre_pull
Incredibles 2,(2018),PG,"
Animation, Action, Adventure            ","

7.6
","280,789",$608.58M,comedy
Finding Dory,(2016),PG,"
Animation, Adventure, Comedy            ","

7.3
","264,085",$486.30M,comedy
Frozen II,(2019),PG,"
Animation, Adventure, Comedy            ","

6.8
","161,827",$477.37M,comedy
Shrek 2,(2004),PG,"
Animation, Adventure, Comedy            ","

7.3
","447,215",$436.47M,comedy
Toy Story 4,(2019),G,"
Animation, Adventure, Comedy            ","

7.7
","234,294",$434.04M,comedy
Toy Story 3,(2010),G,"
Animation, Adventure, Comedy            ","

8.3
","806,012",$415.00M,comedy
Jumanji: Welcome to the Jungle,(2017),PG-13,"
Action, Adventure, Comedy            ","

6.9
","359,997",$404.52M,comedy
Frozen,(I) (2013),PG,"
Animation, Adventure, Comedy            ","

7.5
","606,597",$400.74M,comedy
Guardians of the Galaxy Vol. 2,(2017),PG-13,"
Action, Adventure, Comedy            ","

7.6
","640,094",$389.81M,comedy
Finding Nemo,(2003),G,"
Animation, Adventure, Comedy            ","

8.2
","1,008,209",$380.84M,comedy
The Secret Life of Pets,(2016),PG,"
Animation, Adventure, Comedy            ","

6.5
","196,494",$368.38M,comedy
Despicable Me 2,(2013),PG,"
Animation, Adventure, Comedy            ","

7.3
","388,856",$368.06M,comedy
Deadpool,(2016),R,"
Action, Adventure, Comedy            ","

8.0
","983,703",$363.07M,comedy
Inside Out,(I) (2015),PG,"
Animation, Adventure, Comedy            ","

8.2
","678,629",$356.46M,comedy
Aladdin,(2019),PG,"
Adventure, Comedy, Family            ","

6.9
","254,360",$355.56M,comedy
Zootopia,(2016),PG,"
Animation, Adventure, Comedy            ","

8.0
","475,523",$341.27M,comedy
Minions,(2015),PG,"
Animation, Adventure, Comedy            ","

6.4
","227,358",$336.05M,comedy
Guardians of the Galaxy,(2014),PG-13,"
Action, Adventure, Comedy            ","

8.1
","1,128,061",$333.18M,comedy
Deadpool 2,(2018),R,"
Action, Adventure, Comedy            ","

7.7
","544,306",$324.59M,comedy
Shrek the Third,(2007),PG,"
Animation, Adventure, Comedy            ","

6.1
","297,971",$320.71M,comedy
Jumanji: The Next Level,(2019),PG-13,"
Action, Adventure, Comedy            ","

6.7
","233,397",$316.83M,comedy
Thor: Ragnarok,(2017),PG-13,"
Action, Adventure, Comedy            ","

7.9
","684,417",$315.06M,comedy
Up,(2009),PG,"
Animation, Adventure, Comedy            ","

8.3
","1,003,864",$293.00M,comedy
"Monsters, Inc.",(2001),G,"
Animation, Adventure, Comedy            ","

8.1
","874,494",$289.92M,comedy
Home Alone,(1990),PG,"
Comedy, Family            ","

7.7
","548,860",$285.76M,comedy
Meet the Fockers,(2004),PG-13,"
Comedy, Romance            ","

6.3
","265,780",$279.26M,comedy
The Hangover,(2009),R,"
Comedy            ","

7.7
","761,153",$277.32M,comedy
The Grinch,(2018),PG,"
Animation, Adventure, Comedy            ","

6.3
","67,342",$270.62M,comedy
Sing,(2016),PG,"
Animation, Comedy, Family            ","

7.1
","159,044",$270.40M,comedy
Monsters University,(2013),G,"
Animation, Adventure, Comedy            ","

7.3
","346,854",$268.49M,comedy
Shrek,(2001),PG,"
Animation, Adventure, Comedy            ","

7.9
","653,335",$267.67M,comedy
Despicable Me 3,(2017),PG,"
Animation, Adventure, Comedy            ","

6.3
","127,536",$264.62M,comedy
How the Grinch Stole Christmas,(2000),PG,"
Comedy, Family, Fantasy            ","

6.2
","238,809",$260.04M,comedy
The Lego Movie,(2014),PG,"
Animation, Action, Adventure            ","

7.7
","342,694",$257.76M,comedy
The Hangover Part II,(2011),R,"
Comedy            ","

6.5
","487,484",$254.46M,comedy
Despicable Me,(2010),PG,"
Animation, Adventure, Comedy            ","

7.6
","529,061",$251.51M,comedy
Night at the Museum,(2006),PG,"
Adventure, Comedy, Family            ","

6.4
","336,654",$250.86M,comedy
Men in Black,(1997),PG-13,"
Action, Adventure, Comedy            ","

7.3
","549,463",$250.69M,comedy
Moana,(I) (2016),PG,"
Animation, Adventure, Comedy            ","

7.6
","314,668",$248.76M,comedy
Toy Story 2,(1999),G,"
Animation, Adventure, Comedy            ","

7.9
","561,292",$245.85M,comedy
Cars,(2006),G,"
Animation, Adventure, Comedy            ","

7.2
","400,716",$244.08M,comedy
